x1,y
1.17509639,-1.72E-05
1.23801196,-8.09E-05
1.29163408,-2.10E-04
1.33610737,-4.25E-04
1.37199342,-7.48E-04
1.4001919,-1.20E-03
1.42184281,-1.81E-03
1.43821239,-2.61E-03
1.45055997,-3.64E-03
1.46001732,-4.91E-03
1.46746492,-6.48E-03
1.4734292,-8.39E-03
1.47800446,-1.07E-02
1.4808079,-1.34E-02
1.48096454,-1.65E-02
1.47713065,-2.02E-02
1.46756077,-2.45E-02
1.4501971,-2.93E-02
1.42279863,-3.48E-02
1.38307905,-4.09E-02
1.32886517,-4.77E-02
1.2582618,-5.53E-02
1.16978419,-6.36E-02
1.06250763,-7.27E-02
0.93615705,-8.25E-02
0.79117864,-9.31E-02
0.62876797,-0.104484059
0.45085403,-0.116611511
0.2600356,-0.129483342
0.05948823,-0.143080488
-0.14717792,-0.157378629
-0.35607517,-0.172348082
-0.56321812,-0.187953591
-0.76471496,-0.204153925
-0.95694494,-0.220901251
-1.13672924,-0.238140434
-1.30146682,-0.255808204
-1.44924653,-0.273832232
-1.57890916,-0.292130113
-1.69006753,-0.310608536
-1.78308749,-0.329162419
-1.8590107,-0.347674221
-1.91945493,-0.366013438
-1.96647286,-0.384036452
-2.00238848,-0.401586741
-2.02962828,-0.418495238
-2.05053926,-0.43458122
-2.06724119,-0.449653476
-2.08146834,-0.463511914
-2.09446287,-0.475949317
-2.10690737,-0.486753553
-2.11888218,-0.495709836
-2.12987089,-0.502603173
-2.13882184,-0.507221162
-2.14421296,-0.509356201
-2.14418316,-0.508808434
-2.13666344,-0.505387962
-2.11952066,-0.498917222
-2.09070277,-0.489233315
-2.04839659,-0.476189852
-1.99111986,-0.459658921
-1.91783297,-0.439532697
-1.82798958,-0.415725082
-1.72156811,-0.388172925
-1.59905636,-0.356837541
-1.46139956,-0.321705818
-1.3099283,-0.282791436
-1.14625716,-0.240136012
-0.9721722,-0.19381018
-0.78950763,-0.14391458
-0.60003018,-9.06E-02
-0.40535003,-0.03397223
-0.20682859,2.57E-02
-0.0055385,8.83E-02
0.19775514,0.153382719
0.40256917,0.22080785
0.60866112,0.290204883
0.8159402,0.36121884
1.02436113,0.433466554
1.2338084,0.506538868
1.44397628,0.580003619
1.65424442,0.653409064
1.86357999,0.726287663
2.07046914,0.798160195
2.27286839,0.868540227
2.46821308,0.936938763
2.6534574,1.002868533
2.82515335,1.065848589
2.97959161,1.125408053
3.11294651,1.181090593
3.22147036,1.23245728
3.30168676,1.27908957
3.35058689,1.320591927
3.36582613,1.356593251
3.34587741,1.386749148
3.29015684,1.410742044
3.19911838,1.428282499
3.07427597,1.439109802
2.9181664,1.442992091
2.73427773,1.439727545
2.52692294,1.429144263
2.30102611,1.411101937
2.06193733,1.385492444
1.81517136,1.352241993
1.56615257,1.311312795
1.31998372,1.262705207
1.0811981,1.206460118
0.85357445,1.142661929
0.63998705,1.071441174
0.4422918,0.992976844
0.26130891,0.907499135
0.09682893,0.815291107
-0.05229822,0.716690302
-0.18803635,0.612089634
-0.31297663,0.501937151
-0.43012989,0.386735499
-0.54269755,0.267039955
-0.65382951,0.143455997
-0.76640302,1.66E-02
-0.88281924,-0.112726517
-1.00483525,-0.243899271
-1.13344944,-0.376119733
-1.26882911,-0.508600056
-1.41030526,-0.640533984
-1.55640936,-0.771103859
-1.70497799,-0.899487615
-1.85328388,-1.024865627
-1.99821687,-1.146427512
-2.13647032,-1.263378382
-2.26474118,-1.374945402
-2.37993693,-1.480382919
-2.47935677,-1.578977466
-2.56081295,-1.670052648
-2.62276983,-1.752972841
-2.66438031,-1.827146649
-2.6855197,-1.892030239
-2.68673038,-1.947129607
-2.66916108,-1.992002964
-2.63442421,-2.026262999
-2.58446455,-2.049577951
-2.52139497,-2.061674356
-2.44731283,-2.06233716
-2.36415315,-2.051412344
-2.27352381,-2.028807878
-2.1766057,-1.994494438
-2.07408452,-1.948507667
-1.96609521,-1.890948415
-1.85226142,-1.821983814
-1.73173237,-1.741848111
-1.60329902,-1.650842309
-1.46552372,-1.549335003
-1.31689382,-1.437760711
-1.15600002,-1.316619396
-0.98170882,-1.186474085
-0.79332352,-1.047948956
-0.59071916,-0.901725948
-0.3744536,-0.748541057
-0.14582585,-0.589180171
0.09310022,-0.424474061
0.33954254,-0.255292863
0.59006768,-8.25E-02
0.84072536,9.29E-02
1.08720648,0.2699278
1.32504034,0.44772175
1.54979169,0.625254393
1.75728309,0.801544189
1.94378519,0.975612104
2.10620999,1.146486998
2.24224329,1.313210726
2.35046649,1.474843383
2.43041205,1.630467057
2.48257065,1.779190779
2.5083375,1.920154572
2.50993896,2.052532911
2.49027896,2.175539255
2.45278001,2.288429022
2.40117979,2.390505075
2.33932948,2.481119871
2.27095962,2.559681654
2.19952178,2.62565732
2.12796736,2.6785779
2.05862761,2.71804285
1.99310195,2.743724585
1.93218386,2.755373001
1.87586522,2.752819538
1.82335246,2.735981464
1.77315855,2.704864502
1.72320187,2.659566164
1.67096412,2.600277424
1.61365032,2.52728343
1.54837847,2.440963507
1.47234988,2.341789961
1.3830359,2.230325937
1.27831793,2.107221603
1.15663064,1.973210216
1.01706064,1.829101205
0.8593989,1.675774932
0.68418396,1.514174223
0.49267316,1.345296144
0.28681579,1.170183778
0.06915738,0.989916384
-0.15724966,0.805599809
-0.38897124,0.618357122
-0.62232345,0.429318845
-0.85350698,0.239613682
-1.07874501,5.04E-02
-1.29441202,-0.137345284
-1.49713349,-0.322429359
-1.68390036,-0.503856122
-1.85211337,-0.680630028
-1.99966645,-0.85180223
-2.12494802,-1.016475916
-2.22686815,-1.173810124
-2.3048296,-1.323023677
-2.35871959,-1.463397622
-2.38885999,-1.594277263
-2.39595938,-1.715073824
-2.38106108,-1.825265288
-2.34549046,-1.924396634
-2.29080224,-2.012080193
-2.21871352,-2.087995052
-2.13108444,-2.151885986
-2.02984619,-2.20356369
-1.91699374,-2.242902279
-1.79453146,-2.269839048
-1.6644603,-2.284372807
-1.5287621,-2.286561966
-1.38935208,-2.276523352
-1.24808693,-2.254430532
-1.10673213,-2.220511675
-0.96695,-2.17504859
-0.83026826,-2.118373871
-0.69806981,-2.050869465
-0.57155478,-1.972964287
-0.45173886,-1.885132074
-0.3394188,-1.787889242
-0.23515444,-1.681792378
-0.13926435,-1.567435145
-0.05180275,-1.445446491
0.02742454,-1.316487074
0.09887378,-1.1812464
0.16323431,-1.040440083
0.22141199,-0.894806445
0.27450752,-0.74510324
0.32375866,-0.592104495
0.37050867,-0.436596841
0.41615734,-0.279376298
0.46209371,-0.121244676
0.50965667,3.70E-02
0.56005913,0.194536328
0.61435127,0.350584537
0.67336047,0.504348516
0.73764902,0.655050099
0.80748081,0.801926553
0.88279676,0.944234014
0.96319693,1.081251025
1.04793715,1.212282419
1.13594127,1.336662412
1.22582269,1.45375824
1.31591296,1.562973738
1.40431261,1.663752913
1.48894227,1.755582929
1.5676136,1.837997317
1.63808393,1.910579681
1.69815004,1.972965717
1.74570858,2.024846554
1.778844,2.065970182
1.79588449,2.096144915
1.79548728,2.115240097
1.77668178,2.123187065
1.73891556,2.119980812
1.68209195,2.10567975
1.60657847,2.080405474
1.51320255,2.044342518
1.40324831,1.997736692
1.27839553,1.94089365
1.14069474,1.874176264
0.99247551,1.798002481
0.83628649,1.712841868
0.67479551,1.619212389
0.51069182,1.517676234
0.34661043,1.408836007
0.18501836,1.293330431
0.02813838,1.171829939
-0.12212978,1.045032144
-0.26425159,0.913657129
-0.39711979,0.778443277
-0.52005893,0.64014262
-0.6328361,0.499516696
-0.73561716,0.357332349
-0.82895011,0.214357615
-0.91366649,7.14E-02
-0.99083602,-7.09E-02
-1.06165421,-0.211686179
-1.12735808,-0.35024339
-1.18911219,-0.485856265
-1.24792898,-0.617821515
-1.30458188,-0.745457113
-1.35953104,-0.868104875
-1.41287017,-0.985133111
-1.46431267,-1.095939159
-1.51316833,-1.19995153
-1.55837238,-1.296633005
-1.59853065,-1.385482311
-1.63198066,-1.466037154
-1.65687871,-1.537876368
-1.67129445,-1.600622654
-1.6733253,-1.653944492
-1.66118538,-1.697559118
-1.63334048,-1.73123455
-1.58857989,-1.754791737
-1.52611113,-1.768106937
-1.44561529,-1.771113157
-1.34729099,-1.763802052
-1.23187053,-1.746225119
-1.10060227,-1.718494654
-0.9552297,-1.680784345
-0.79790646,-1.633329511
-0.63115162,-1.576426268
-0.45773974,-1.510431051
-0.28058583,-1.435759187
-0.1026691,-1.352882147
0.07309744,-1.262326002
0.24395588,-1.164667368
0.4073846,-1.060529947
0.56118238,-0.95058018
0.70351207,-0.835522771
0.83293182,-0.716095209
0.94841182,-0.593062162
1.0493176,-0.467209667
1.13538945,-0.339339197
1.20668769,-0.210261017
1.26356626,-8.08E-02
1.30657804,4.83E-02
1.33642888,0.176113531
1.3539269,0.301959455
1.3598882,0.425045699
1.35514367,0.54463768
1.34044528,0.660033047
1.31648815,0.770566642
1.28386259,0.875614464
1.24309003,0.974597633
1.19461107,1.066985369
1.13882208,1.152298212
1.07609332,1.230109692
