x1,y
0,0
-0.39998266,2.41E-04
-0.2898365,9.73E-04
-0.18158396,2.21E-03
-0.07512912,3.95E-03
0.03002262,6.20E-03
0.13468599,8.98E-03
0.23989345,1.23E-02
0.34677354,0.016079519
0.45642176,2.04E-02
0.56976646,2.52E-02
0.68744439,0.030491916
0.80969042,3.62E-02
0.93625647,4.24E-02
1.06635714,4.90E-02
1.19865584,5.59E-02
1.33128273,6.31E-02
1.46189904,7.05E-02
1.58779037,7.82E-02
1.70599163,8.59E-02
1.81343472,9.37E-02
1.90711868,0.101393558
1.98426414,0.108984701
2.04248428,0.1163515
2.07991982,0.123399906
2.09535599,0.130033091
2.08831024,0.136152163
2.05906463,0.141656861
2.008672,0.146446139
1.9389081,0.150418729
1.85217416,0.153473645
1.75138605,0.155510634
1.63980627,0.156430632
1.52087593,0.156136155
1.39803243,0.154531792
1.27451253,0.151524737
1.15320098,0.147025391
1.03646243,0.140948176
0.92604822,0.133212343
0.82300633,0.123743087
0.72765464,0.112472698
0.6396004,0.099341907
0.55779046,8.43E-02
0.48061368,6.73E-02
0.40603378,4.84E-02
0.3317422,2.74E-02
0.25532821,4.49E-03
0.17445472,-2.04E-02
0.08701541,-4.72E-02
-0.00871238,-7.58E-02
-0.11395688,-0.106221944
-0.22936395,-0.13829653
-0.35496181,-0.171914756
-0.49015269,-0.206932858
-0.63375658,-0.24318704
-0.7840867,-0.280494303
-0.93905205,-0.318653584
-1.09629202,-0.357447088
-1.25331283,-0.396641672
-1.40762579,-0.435990661
-1.5568893,-0.475235373
-1.69902205,-0.514107108
-1.83228946,-0.552328825
-1.95536041,-0.589616835
-2.06733441,-0.62568295
-2.16773009,-0.660235941
-2.25641966,-0.69298327
-2.33357239,-0.723633111
-2.39953995,-0.751896024
-2.45474863,-0.777486622
-2.49957681,-0.800125778
-2.53424335,-0.819542468
-2.5587225,-0.83547616
-2.57265878,-0.847678602
-2.57533836,-0.855916739
-2.56568718,-0.859974861
-2.54231215,-0.859657168
-2.50357127,-0.854790211
-2.44768524,-0.845225632
-2.37287998,-0.830842137
-2.2775352,-0.811547756
-2.16034007,-0.787281632
-2.02047062,-0.758015513
-1.85770833,-0.723754644
-1.67256331,-0.684538424
-1.46634948,-0.640440345
-1.24121499,-0.591567457
-1.00012445,-0.538059413
-0.74678445,-0.480087012
-0.48553261,-0.417850256
-0.22116967,-0.351576209
0.04123655,-0.281516552
0.29657152,-0.207945049
0.53991061,-0.131155014
0.76674831,-0.05145698
0.97321481,3.08E-02
1.15625846,0.115348116
1.31379724,0.201766551
1.44480586,0.289718479
1.54935598,0.378833979
1.62858701,0.468734056
1.6846323,0.55903089
1.72047544,0.649327874
1.73977041,0.739219666
1.74661815,0.828291953
1.74533319,0.916122019
1.74018335,1.002278924
1.73515272,1.086324811
1.73372245,1.167815804
1.73867583,1.246304274
1.75196505,1.321341395
1.77461851,1.392479777
1.80671167,1.459277034
1.84739637,1.52129972
1.89498198,1.578127265
1.94707572,1.629356027
2.00074911,1.674603343
2.05274153,1.713511705
2.09967756,1.745751977
2.1382854,1.771027207
2.1655941,1.789074421
2.17911506,1.799667358
2.17697716,1.80261755
2.15801597,1.797775507
2.12183595,1.78503108
2.06877089,1.764313579
1.99984705,1.735591292
1.91667569,1.698870897
1.82130134,1.654197335
1.71605015,1.601652861
1.60334229,1.54135704
1.48551476,1.4734658
1.36464942,1.398172259
1.24243832,1.315706491
1.12006819,1.22633636
0.99815905,1.130367398
0.87674159,1.02814424
0.75528377,0.920050621
0.63276541,0.806509972
0.50779402,0.68798542
0.37874523,0.564979255
0.2439328,0.438031882
0.1017869,0.307720244
-0.0489743,0.174655184
-0.20917967,0.03947835
-0.37908638,-9.71E-02
-0.55826122,-0.234514818
-0.74554974,-0.371933341
-0.93906605,-0.508679152
-1.13622892,-0.6440292
-1.33386552,-0.777262151
-1.52833962,-0.907664537
-1.71573269,-1.034537315
-1.89201927,-1.157201648
-2.0532856,-1.275004387
-2.19593525,-1.387322783
-2.31688166,-1.493568897
-2.41370821,-1.593192339
-2.48480821,-1.685683489
-2.5294733,-1.770574689
-2.54793143,-1.847440958
-2.54133725,-1.915900826
-2.51171589,-1.975615025
-2.46183825,-2.026286602
-2.3950851,-2.067658424
-2.31525803,-2.099513054
-2.2263844,-2.121670723
-2.13249803,-2.133987427
-2.03742623,-2.136355162
-1.94460523,-2.128700256
-1.85690665,-2.11098361
-1.77649152,-2.083199978
-1.70472896,-2.045380116
-1.64214969,-1.997590661
-1.58842635,-1.939936757
-1.54243815,-1.872563481
-1.5023458,-1.795657873
-1.46571684,-1.709451318
-1.42968786,-1.614221931
-1.39112127,-1.510296106
-1.34679604,-1.398050308
-1.2935853,-1.27791214
-1.22862709,-1.150360703
-1.14948523,-1.015926123
-1.05425227,-0.875189006
-0.94167256,-0.728777707
-0.81118405,-0.577365875
-0.66294062,-0.421668679
-0.49781242,-0.262438476
-0.3173407,-0.100459367
-0.12364896,6.35E-02
0.0806301,0.228485003
0.29248372,0.393777221
0.50863034,0.558485568
0.72564989,0.721761346
0.9401117,0.882763028
1.14866781,1.040663123
1.34817839,1.194654703
1.53577864,1.343957186
1.70894253,1.487821698
1.86554229,1.625536084
2.00386,1.756429672
2.12260437,1.879876614
2.22089386,1.995299578
2.29825354,2.102172613
2.35456204,2.200022936
2.39004588,2.288432837
2.40521693,2.367040873
2.40083241,2.435542822
2.37788129,2.493691444
2.33753061,2.541297436
2.28109336,2.57822752
2.210006,2.604404688
2.12582469,2.619806528
2.03017879,2.624463558
1.92476845,2.618457794
1.81134868,2.601920366
1.69170868,2.575029135
1.56766677,2.538005829
1.44102943,2.49111414
1.31358087,2.434656143
1.18706703,2.368969202
1.06313622,2.294423819
0.94333297,2.211419582
0.82905591,2.120382786
0.72152168,2.021763802
0.62173259,1.916033983
0.53045416,1.803683043
0.44817913,1.685217142
0.37512916,1.561156631
0.31121439,1.432034016
0.25605965,1.298392296
0.20899877,1.160783291
0.16908991,1.019766927
0.13514555,0.875909328
0.10576636,0.729781926
0.0793894,0.581960618
0.05432529,0.433024675
0.0288293,0.283555567
0.00115043,0.134135962
-0.03040353,-1.47E-02
-0.06740678,-0.162225336
-0.11125113,-0.3080073
-0.16310391,-0.451423466
-0.22384414,-0.591906369
-0.29403239,-0.728897035
-0.37387404,-0.861847281
-0.46320122,-0.990222096
-0.56146437,-1.113502145
-0.66773528,-1.231186628
-0.78072309,-1.34279561
-0.89880818,-1.447873473
-1.020082,-1.545990825
-1.14240634,-1.636747599
-1.2634666,-1.719775438
-1.38086057,-1.794739962
-1.49216771,-1.861343026
-1.59503007,-1.919324398
-1.68723869,-1.968462944
-1.76680839,-2.0085783
-1.83205473,-2.039531231
-1.88165069,-2.061224222
-1.91467273,-2.073601723
-1.93065381,-2.076648951
-1.92956924,-2.070392132
-1.91186047,-2.054897308
-1.87839317,-2.030268669
-1.83044088,-1.996647
-1.76959717,-1.954208732
-1.69771481,-1.903163195
-1.61683595,-1.843751431
-1.52906358,-1.776243925
-1.43649685,-1.700938821
-1.34111166,-1.618160486
-1.24468017,-1.528257489
-1.14868498,-1.431601644
-1.05426681,-1.32858634
-0.96216214,-1.219625831
-0.87268698,-1.105154395
-0.78574258,-0.985625803
-0.70081866,-0.861513019
-0.61706203,-0.73330754
-0.53332484,-0.601519704
-0.44825044,-0.466678172
-0.36038122,-0.329329908
-0.26824573,-0.190039679
-0.1704724,-4.94E-02
-0.06589516,9.20E-02
0.04636006,0.233579025
0.16679458,0.374655247
0.29548597,0.514609635
0.43203202,0.652792156
0.57556295,0.788545907
0.7247386,0.921210349
0.87778354,1.050125241
1.03256643,1.174634576
1.18666089,1.294091225
1.33743942,1.40786159
1.48219693,1.515330911
1.61823475,1.615907788
1.74298644,1.709029794
1.85409141,1.794168472
1.94951499,1.870833874
2.02758074,1.938579559
2.08705568,1.997006059
2.12715125,2.045765877
2.14754009,2.084565401
2.14834523,2.113169193
2.13009787,2.131400347
2.09369016,2.139144421
2.04030561,2.136348724
1.97135186,2.123023748
1.88838542,2.099242687
1.79303265,2.065140963
1.68692899,2.020915747
1.57165122,1.966824174
1.44867671,1.903181314
1.31933713,1.830358505
1.18482745,1.74878037
1.04617298,1.658922434
0.90425563,1.561307669
0.75982606,1.456503749
0.6135484,1.345118999
0.46602124,1.227798939
0.3178224,1.105222106
0.16954075,0.978096187
0.02181289,0.847153485
-0.12464916,0.71314621
-0.26905656,0.57684201
-0.41051784,0.439019024
-0.54806197,0.300460756
-0.68063456,0.161951035
-0.80712903,2.43E-02
-0.92642576,-0.111817352
-1.03741264,-0.245554
-1.13902211,-0.376208425
-1.23026597,-0.503073454
-1.31028628,-0.625472546
-1.37835443,-0.742764175
-1.43391728,-0.854346335
-1.47659051,-0.959660411
-1.50618923,-1.058194876
-1.5226953,-1.149488449
-1.52627754,-1.233132601
-1.51726329,-1.308773875
-1.49613011,-1.37611568
-1.46345401,-1.434919
-1.41995192,-1.485003352
-1.36639106,-1.526246548
-1.30362689,-1.558584452
-1.23255253,-1.582010031
-1.15411246,-1.596571803
-1.06928563,-1.602371931
-0.97908711,-1.599564195
-0.88455826,-1.588351727
-0.78677809,-1.568983316
-0.68686044,-1.541751027
-0.58594203,-1.50698626
-0.485203,-1.465056658
-0.38581422,-1.416361928
-0.28898191,-1.36133039
-0.19587299,-1.300414681
-0.10762489,-1.234088182
-0.02530517,-1.162840605
0.05010482,-1.087174296
0.11776407,-1.007600307
0.17697999,-0.924634635
0.22725111,-0.838794291
0.26827672,-0.750594139
0.29998356,-0.660543203
0.32252595,-0.569141805
0.33628801,-0.476878554
0.34187463,-0.384227872
0.34009033,-0.291647643
