x1,y
-0.47165966,3.83E-04
-0.36398026,1.54E-03
-0.25794524,3.46E-03
-0.1534331,6.15E-03
-0.04992637,9.59E-03
0.05341248,1.38E-02
0.15763827,1.86E-02
0.26390162,2.42E-02
0.37331867,3.04E-02
0.48683724,3.71E-02
0.60510981,4.44E-02
0.72838831,5.22E-02
0.856435,0.06038706
0.98847324,6.89E-02
1.12317264,7.77E-02
1.25866318,8.67E-02
1.39260423,9.57E-02
1.52227378,0.104814284
1.64469349,0.113816857
1.75678289,0.122650281
1.85551858,0.131222382
1.93809974,0.139440924
2.00210857,0.147214264
2.04565597,0.154451966
2.06749749,0.16106534
2.06711292,0.166967794
2.04475164,0.172075078
2.00142908,0.176305503
1.93888271,0.179579929
1.85948217,0.181821793
1.76610458,0.182957038
1.66198301,0.182914048
1.55052769,0.181623667
1.43514132,0.179019183
1.31903875,0.17503652
1.20507181,0.169614509
1.0955869,0.162695378
0.99230713,0.154225335
0.8962571,0.144155338
0.80773449,0.132442057
0.72631842,0.119048931
0.6509313,0.103947312
0.57993841,8.71E-02
0.51127386,6.86E-02
0.44259953,4.82E-02
0.37147519,2.62E-02
0.29552853,2.51E-03
0.21261865,-2.28E-02
0.12098833,-4.98E-02
0.01936875,-7.83E-02
-0.09292415,-0.108178943
-0.21595499,-0.139411047
-0.34916648,-0.171853632
-0.49141476,-0.205374703
-0.64105099,-0.239828646
-0.79601848,-0.275056988
-0.9539876,-0.310889184
-1.11249256,-0.34714362
-1.26907122,-0.383628249
-1.42140532,-0.420141667
-1.56742513,-0.456473827
-1.70541286,-0.492406845
-1.83403957,-0.527715802
-1.95241284,-0.562169373
-2.06003594,-0.595530868
-2.1567781,-0.627559006
-2.24278307,-0.658008814
-2.31837845,-0.686632752
-2.38395381,-0.713182151
-2.4398427,-0.737408638
-2.48621488,-0.759065747
-2.52297616,-0.777911067
-2.54970169,-0.793708265
-2.56559777,-0.806229651
-2.56949568,-0.815258443
-2.55990934,-0.820591331
-2.53508449,-0.822041214
-2.49313784,-0.81943959
-2.43217301,-0.812638938
-2.35044837,-0.801514626
-2.24654341,-0.785966992
-2.11950016,-0.765922546
-1.96899676,-0.741335094
-1.79543269,-0.712186277
-1.60002136,-0.678485513
-1.38482821,-0.640269876
-1.15273488,-0.597603381
-0.9073959,-0.550575852
-0.65310353,-0.49930194
-0.39463186,-0.443919539
-0.13704011,-0.38458848
0.11454855,-0.321489275
0.35518512,-0.254821807
0.58032614,-0.184804544
0.78604949,-0.111673757
0.96924359,-3.57E-02
1.12775445,4.29E-02
1.26048708,0.123775192
1.36743259,0.206647635
1.449664,0.2911883
1.50924289,0.377053231
1.54909027,0.463879257
1.57280755,0.551283956
1.58445418,0.638865769
1.58831394,0.726204991
1.58863676,0.8128649
1.58940315,0.898393691
1.59409165,0.982327163
1.60550511,1.064191461
1.6256206,1.143507242
1.65548885,1.2197932
1.69522154,1.292570591
1.74400151,1.361367822
1.80016971,1.425725102
1.86136043,1.485198379
1.92466497,1.539363742
1.986835,1.587821126
2.04450321,1.630197048
2.09438848,1.666147947
2.13350415,1.695361376
2.15933156,1.717558265
2.16996241,1.732493639
2.16419125,1.739957094
2.14155674,1.739773631
2.10233569,1.731803536
2.04748416,1.715942979
1.97853863,1.692123771
1.89746809,1.660314202
1.8065182,1.620519996
1.70802939,1.572784901
1.60425353,1.517192483
1.49719226,1.453866959
1.38845587,1.382975459
1.27914441,1.304729104
1.16980004,1.219384909
1.06035972,1.127246261
0.95021385,1.02866447
0.83825427,0.924037874
0.72299713,0.813811719
0.60273618,0.698476434
0.47569409,0.578564942
0.34021622,0.454649568
0.19494541,0.327337474
0.0389657,0.197265685
-0.1280406,6.51E-02
-0.30570605,-6.85E-02
-0.49292305,-0.202816248
-0.68783569,-0.33717382
-0.88788235,-0.470876902
-1.08989251,-0.60324353
-1.29020751,-0.733606875
-1.48486197,-0.861320496
-1.66977727,-0.985763133
-1.84095657,-1.106342077
-1.9947058,-1.222496271
-2.12782073,-1.333697677
-2.23775673,-1.439451933
-2.32276964,-1.53929913
-2.38201165,-1.632812023
-2.41556096,-1.719595671
-2.42443848,-1.799284935
-2.41052532,-1.871542573
-2.37646961,-1.936057806
-2.32555127,-1.992543817
-2.26147985,-2.040736198
-2.1882093,-2.080392361
-2.10972214,-2.111290932
-2.02982306,-2.133231163
-1.95193756,-2.146034718
-1.87894082,-2.149547338
-1.81302834,-2.143639803
-1.75560462,-2.128211975
-1.70723999,-2.103195667
-1.66765249,-2.068557978
-1.63576865,-2.024305344
-1.60977948,-1.970487595
-1.58728564,-1.907200575
-1.56542122,-1.834590197
-1.54103756,-1.752854347
-1.51087785,-1.662245512
-1.47175658,-1.563071609
-1.42072284,-1.455696344
-1.35522926,-1.34053874
-1.27324057,-1.218071461
-1.17334616,-1.088818908
-1.05481088,-0.953353405
-0.91762054,-0.812291563
-0.76245868,-0.666289687
-0.5906738,-0.516038537
-0.40422246,-0.362257987
-0.20556536,-0.205691084
0.0024278,-4.71E-02
0.21660197,0.112748057
0.43363911,0.273070335
0.65016758,0.433090299
0.86288148,0.592034757
1.06863141,0.749140322
1.26452124,0.903658152
1.44795084,1.054857969
1.61668694,1.202031851
1.76887786,1.344497561
1.9030652,1.481602073
2.01818657,1.61272347
2.11355853,1.737274289
